1,1,23
1,2,1
1,3,3
1,4,
1,5,
1,6,2
1,7,
1,8,1
1,9,3
1,10,3
1,11,3
1,12,3
1,13,4
1,14,80
1,15,90
1,16,95
1,17,81
1,18,79
1,19,95
1,20,88
1,21,98
1,22,85
1,23,94
1,24,87
2,1,17
2,2,2
2,3,2
2,4,
2,5,
2,6,
2,7,
2,8,7
2,9,4
2,10,4
2,11,4
2,12,4
2,13,4
2,14,
2,15,100
2,16,70
2,17,80
2,18,90
2,19,90
2,20,80
2,21,80
2,22,100
2,23,100
2,24,80
3,1,18
3,2,2
3,3,1
3,4,
3,5,
3,6,1
3,7,
3,8,9
3,9,3
3,10,2
3,11,4
3,12,4
3,13,2
3,14,70
3,15,60
3,16,80
3,17,90
3,18,80
3,19,90
3,20,90
3,21,100
3,22,100
3,23,90
3,24,80
4,1,18
4,2,2
4,3,2
4,4,2
4,5,
4,6,2
4,7,
4,8,18
4,9,4
4,10,2
4,11,2
4,12,2
4,13,4
4,14,100
4,15,90
4,16,60
4,17,100
4,18,90
4,19,80
4,20,70
4,21,80
4,22,100
4,23,100
4,24,100
5,1,18
5,2,2
5,3,2
5,4,2
5,5,
5,6,2
5,7,
5,8,17
5,9,3
5,10,3
5,11,4
5,12,4
5,13,2
5,14,70
5,15,70
5,16,70
5,17,90
5,18,80
5,19,100
5,20,80
5,21,80
5,22,70
5,23,70
5,24,70
6,1,18
6,2,2
6,3,1
6,4,2
6,5,
6,6,3
6,7,104
6,8,7
6,9,4
6,10,4
6,11,2
6,12,4
6,13,1
6,14,75
6,15,80
6,16,60
6,17,60
6,18,70
6,19,80
6,20,100
6,21,70
6,22,60
6,23,80
6,24,90
7,1,20
7,2,1
7,3,2
7,4,1
7,5,
7,6,1
7,7,
7,8,24
7,9,2
7,10,4
7,11,3
7,12,3
7,13,
7,14,70
7,15,80
7,16,80
7,17,80
7,18,70
7,19,80
7,20,70
7,21,70
7,22,80
7,23,90
7,24,80
8,1,17
8,2,1
8,3,3
8,4,
8,5,
8,6,2
8,7,
8,8,1
8,9,3
8,10,3
8,11,4
8,12,4
8,13,4
8,14,65
8,15,65
8,16,99
8,17,80
8,18,95
8,19,100
8,20,95
8,21,100
8,22,75
8,23,100
8,24,100
9,1,18
9,2,2
9,3,2
9,4,2
9,5,
9,6,2
9,7,
9,8,7
9,9,4
9,10,4
9,11,2
9,12,2
9,13,
9,14,88
9,15,90
9,16,90
9,17,100
9,18,70
9,19,70
9,20,80
9,21,90
9,22,70
9,23,100
9,24,80
10,1,18
10,2,1
10,3,1
10,4,
10,5,
10,6,3
10,7,94
10,8,7
10,9,2
10,10,3
10,11,3
10,12,2
10,13,2
10,14,60
10,15,60
10,16,60
10,17,60
10,18,60
10,19,80
10,20,70
10,21,70
10,22,80
10,23,80
10,24,70
11,1,20
11,2,1
11,3,3
11,4,1
11,5,
11,6,3
11,7,104
11,8,9
11,9,4
11,10,4
11,11,2
11,12,
11,13,
11,14,80
11,15,60
11,16,70
11,17,60
11,18,70
11,19,100
11,20,80
11,21,90
11,22,100
11,23,100
11,24,100
12,1,16
12,2,2
12,3,1
12,4,2
12,5,
12,6,1
12,7,
12,8,18
12,9,2
12,10,1
12,11,4
12,12,4
12,13,2
12,14,83
12,15,75
12,16,100
12,17,80
12,18,80
12,19,100
12,20,86
12,21,95
12,22,94
12,23,80
12,24,100
13,1,17
13,2,1
13,3,4
13,4,2
13,5,77
13,6,2
13,7,
13,8,9
13,9,4
13,10,4
13,11,4
13,12,3
13,13,
13,14,80
13,15,58
13,16,78
13,17,68
13,18,70
13,19,96
13,20,80
13,21,89
13,22,70
13,23,80
13,24,94
14,1,17
14,2,2
14,3,2
14,4,
14,5,
14,6,
14,7,
14,8,1
14,9,4
14,10,2
14,11,4
14,12,3
14,13,
14,14,70
14,15,80
14,16,90
14,17,86
14,18,88
14,19,79
14,20,90
14,21,80
14,22,84
14,23,80
14,24,90
15,1,17
15,2,2
15,3,2
15,4,2
15,5,
15,6,2
15,7,
15,8,9
15,9,2
15,10,2
15,11,4
15,12,3
15,13,2
15,14,80
15,15,100
15,16,90
15,17,70
15,18,65
15,19,100
15,20,70
15,21,100
15,22,100
15,23,100
15,24,40
16,1,17
16,2,2
16,3,1
16,4,2
16,5,
16,6,2
16,7,
16,8,17
16,9,3
16,10,2
16,11,3
16,12,4
16,13,4
16,14,85
16,15,80
16,16,85
16,17,98
16,18,80
16,19,80
16,20,90
16,21,90
16,22,70
16,23,100
16,24,100
17,1,19
17,2,2
17,3,3
17,4,1
17,5,
17,6,3
17,7,94
17,8,7
17,9,2
17,10,2
17,11,2
17,12,2
17,13,4
17,14,90
17,15,70
17,16,80
17,17,70
17,18,70
17,19,80
17,20,80
17,21,70
17,22,90
17,23,90
17,24,90
18,1,18
18,2,2
18,3,1
18,4,2
18,5,
18,6,1
18,7,
18,8,18
18,9,2
18,10,2
18,11,4
18,12,2
18,13,
18,14,90
18,15,83
18,16,80
18,17,82
18,18,87
18,19,87
18,20,87
18,21,93
18,22,78
18,23,85
18,24,80
19,1,16
19,2,2
19,3,1
19,4,2
19,5,
19,6,2
19,7,
19,8,1
19,9,3
19,10,3
19,11,4
19,12,4
19,13,4
19,14,89
19,15,88
19,16,98
19,17,84
19,18,85
19,19,85
19,20,93
19,21,96
19,22,85
19,23,86
19,24,90
20,1,18
20,2,2
20,3,1
20,4,3
20,5,41
20,6,3
20,7,94
20,8,1
20,9,3
20,10,3
20,11,2
20,12,4
20,13,2
20,14,100
20,15,90
20,16,100
20,17,90
20,18,80
20,19,100
20,20,100
20,21,100
20,22,100
20,23,90
20,24,80
21,1,18
21,2,1
21,3,2
21,4,2
21,5,
21,6,3
21,7,104
21,8,1
21,9,1
21,10,2
21,11,4
21,12,3
21,13,3
21,14,80
21,15,80
21,16,80
21,17,70
21,18,80
21,19,100
21,20,80
21,21,80
21,22,90
21,23,90
21,24,80
22,1,21
22,2,2
22,3,2
22,4,2
22,5,
22,6,2
22,7,
22,8,18
22,9,2
22,10,2
22,11,2
22,12,4
22,13,4
22,14,75
22,15,85
22,16,60
22,17,90
22,18,95
22,19,80
22,20,83
22,21,78
22,22,78
22,23,83
22,24,82
23,1,21
23,2,1
23,3,1
23,4,
23,5,
23,6,3
23,7,104
23,8,17
23,9,2
23,10,4
23,11,2
23,12,2
23,13,4
23,14,80
23,15,80
23,16,70
23,17,90
23,18,90
23,19,90
23,20,80
23,21,70
23,22,70
23,23,90
23,24,90
24,1,21
24,2,1
24,3,1
24,4,
24,5,
24,6,
24,7,
24,8,17
24,9,2
24,10,2
24,11,3
24,12,3
24,13,2
24,14,70
24,15,80
24,16,63
24,17,73
24,18,85
24,19,
24,20,65
24,21,63
24,22,75
24,23,80
24,24,90
25,1,18
25,2,1
25,3,3
25,4,1
25,5,
25,6,2
25,7,
25,8,9
25,9,2
25,10,3
25,11,4
25,12,3
25,13,
25,14,60
25,15,70
25,16,80
25,17,60
25,18,90
25,19,
25,20,90
25,21,100
25,22,70
25,23,70
25,24,80
26,1,17
26,2,2
26,3,4
26,4,3
26,5,55
26,6,3
26,7,22
26,8,9
26,9,3
26,10,3
26,11,3
26,12,3
26,13,2
26,14,73
26,15,69
26,16,65
26,17,71
26,18,70
26,19,99
26,20,75
26,21,80
26,22,72
26,23,100
26,24,85
27,1,17
27,2,2
27,3,4
27,4,2
27,5,
27,6,3
27,7,83
27,8,9
27,9,4
27,10,4
27,11,4
27,12,3
27,13,2
27,14,70
27,15,60
27,16,60
27,17,60
27,18,60
27,19,68
27,20,85
27,21,90
27,22,98
27,23,100
27,24,90
28,1,17
28,2,1
28,3,4
28,4,3
28,5,55
28,6,3
28,7,92
28,8,1
28,9,3
28,10,3
28,11,2
28,12,
28,13,
28,14,70
28,15,75
28,16,68
28,17,75
28,18,60
28,19,90
28,20,70
28,21,75
28,22,66
28,23,70
28,24,70
29,1,17
29,2,1
29,3,4
29,4,3
29,5,55
29,6,2
29,7,
29,8,1
29,9,3
29,10,4
29,11,3
29,12,
29,13,
29,14,50
29,15,60
29,16,70
29,17,60
29,18,45
29,19,85
29,20,65
29,21,60
29,22,50
29,23,70
29,24,80
30,1,18
30,2,1
30,3,4
30,4,2
30,5,
30,6,1
30,7,
30,8,1
30,9,3
30,10,3
30,11,3
30,12,
30,13,
30,14,65
30,15,70
30,16,75
30,17,60
30,18,50
30,19,80
30,20,70
30,21,65
30,22,65
30,23,75
30,24,80
31,1,17
31,2,2
31,3,
31,4,
31,5,
31,6,2
31,7,
31,8,7
31,9,2
31,10,2
31,11,4
31,12,2
31,13,
31,14,85
31,15,65
31,16,60
31,17,75
31,18,70
31,19,100
31,20,80
31,21,80
31,22,75
31,23,95
31,24,100
32,1,17
32,2,1
32,3,4
32,4,3
32,5,97
32,6,3
32,7,83
32,8,17
32,9,4
32,10,4
32,11,4
32,12,4
32,13,4
32,14,85
32,15,74
32,16,75
32,17,90
32,18,82
32,19,80
32,20,80
32,21,82
32,22,75
32,23,85
32,24,75
33,1,18
33,2,1
33,3,4
33,4,2
33,5,
33,6,3
33,7,68
33,8,18
33,9,4
33,10,2
33,11,2
33,12,4
33,13,
33,14,80
33,15,70
33,16,70
33,17,80
33,18,80
33,19,90
33,20,70
33,21,80
33,22,90
33,23,90
33,24,70
34,1,18
34,2,1
34,3,3
34,4,3
34,5,
34,6,3
34,7,103
34,8,1
34,9,3
34,10,3
34,11,3
34,12,2
34,13,
34,14,70
34,15,80
34,16,85
34,17,80
34,18,65
34,19,90
34,20,65
34,21,70
34,22,80
34,23,90
34,24,80
35,1,17
35,2,1
35,3,
35,4,2
35,5,60
35,6,2
35,7,
35,8,9
35,9,4
35,10,4
35,11,4
35,12,4
35,13,
35,14,70
35,15,60
35,16,70
35,17,80
35,18,80
35,19,100
35,20,90
35,21,80
35,22,90
35,23,100
35,24,90
36,1,17
36,2,2
36,3,4
36,4,3
36,5,66
36,6,3
36,7,23
36,8,17
36,9,2
36,10,4
36,11,2
36,12,
36,13,
36,14,90
36,15,74
36,16,78
36,17,90
36,18,93
36,19,75
36,20,83
36,21,87
36,22,90
36,23,95
36,24,95
37,1,17
37,2,2
37,3,4
37,4,3
37,5,17
37,6,2
37,7,
37,8,18
37,9,2
37,10,2
37,11,2
37,12,2
37,13,2
37,14,85
37,15,75
37,16,75
37,17,80
37,18,85
37,19,100
37,20,80
37,21,80
37,22,85
37,23,90
37,24,80
38,1,17
38,2,1
38,3,4
38,4,3
38,5,47
38,6,3
38,7,97
38,8,12
38,9,3
38,10,3
38,11,3
38,12,
38,13,
38,14,50
38,15,40
38,16,50
38,17,60
38,18,50
38,19,80
38,20,60
38,21,60
38,22,50
38,23,70
38,24,70
39,1,18
39,2,2
39,3,4
39,4,3
39,5,83
39,6,3
39,7,22
39,8,7
39,9,2
39,10,4
39,11,2
39,12,4
39,13,2
39,14,70
39,15,70
39,16,70
39,17,70
39,18,80
39,19,70
39,20,60
39,21,70
39,22,90
39,23,60
39,24,80
40,1,17
40,2,1
40,3,2
40,4,
40,5,
40,6,2
40,7,
40,8,17
40,9,3
40,10,4
40,11,4
40,12,3
40,13,
40,14,92
40,15,90
40,16,100
40,17,80
40,18,80
40,19,90
40,20,90
40,21,90
40,22,80
40,23,60
40,24,90
41,1,18
41,2,2
41,3,4
41,4,2
41,5,
41,6,2
41,7,
41,8,7
41,9,2
41,10,4
41,11,4
41,12,2
41,13,3
41,14,85
41,15,80
41,16,100
41,17,75
41,18,97
41,19,93
41,20,100
41,21,90
41,22,80
41,23,60
41,24,80
42,1,17
42,2,1
42,3,2
42,4,
42,5,
42,6,2
42,7,
42,8,1
42,9,3
42,10,3
42,11,3
42,12,3
42,13,
42,14,72
42,15,76
42,16,90
42,17,80
42,18,68
42,19,90
42,20,76
42,21,95
42,22,95
42,23,62
42,24,96
43,1,18
43,2,1
43,3,1
43,4,
43,5,
43,6,
43,7,
43,8,24
43,9,4
43,10,3
43,11,4
43,12,4
43,13,
43,14,65
43,15,50
43,16,68
43,17,63
43,18,65
43,19,70
43,20,25
43,21,75
43,22,63
43,23,63
43,24,60
44,1,20
44,2,2
44,3,2
44,4,1
44,5,
44,6,1
44,7,
44,8,9
44,9,4
44,10,4
44,11,4
44,12,
44,13,
44,14,71
44,15,70
44,16,71
44,17,52
44,18,57
44,19,64
44,20,81
44,21,78
44,22,82
44,23,71
44,24,78
45,1,17
45,2,1
45,3,2
45,4,2
45,5,
45,6,3
45,7,83
45,8,24
45,9,2
45,10,3
45,11,4
45,12,3
45,13,2
45,14,80
45,15,80
45,16,90
45,17,70
45,18,80
45,19,90
45,20,70
45,21,100
45,22,90
45,23,60
45,24,70
46,1,17
46,2,2
46,3,1
46,4,2
46,5,
46,6,2
46,7,
46,8,10
46,9,2
46,10,2
46,11,2
46,12,
46,13,
46,14,80
46,15,70
46,16,70
46,17,55
46,18,70
46,19,60
46,20,80
46,21,90
46,22,90
46,23,45
46,24,90
47,1,18
47,2,2
47,3,3
47,4,2
47,5,
47,6,2
47,7,
47,8,18
47,9,3
47,10,2
47,11,2
47,12,
47,13,
47,14,84
47,15,63
47,16,66
47,17,60
47,18,70
47,19,80
47,20,74
47,21,81
47,22,65
47,23,60
47,24,86
48,1,22
48,2,2
48,3,3
48,4,2
48,5,
48,6,2
48,7,
48,8,10
48,9,2
48,10,2
48,11,2
48,12,
48,13,
48,14,90
48,15,83
48,16,86
48,17,63
48,18,69
48,19,90
48,20,95
48,21,79
48,22,78
48,23,63
48,24,90
49,1,17
49,2,1
49,3,3
49,4,2
49,5,
49,6,2
49,7,
49,8,1
49,9,3
49,10,3
49,11,2
49,12,
49,13,
49,14,74
49,15,53
49,16,78
49,17,63
49,18,73
49,19,76
49,20,82
49,21,86
49,22,81
49,23,66
49,24,71
50,1,18
50,2,2
50,3,3
50,4,2
50,5,
50,6,2
50,7,
50,8,9
50,9,3
50,10,4
50,11,3
50,12,4
50,13,
50,14,100
50,15,88
50,16,87
50,17,80
50,18,90
50,19,
50,20,100
50,21,83
50,22,73
50,23,65
50,24,90
51,1,17
51,2,1
51,3,3
51,4,3
51,5,85
51,6,2
51,7,
51,8,18
51,9,4
51,10,4
51,11,2
51,12,2
51,13,4
51,14,77
51,15,62
51,16,90
51,17,76
51,18,76
51,19,73
51,20,81
51,21,83
51,22,93
51,23,71
51,24,85
52,1,17
52,2,2
52,3,4
52,4,2
52,5,
52,6,3
52,7,92
52,8,18
52,9,4
52,10,4
52,11,3
52,12,2
52,13,4
52,14,73
52,15,70
52,16,70
52,17,60
